id,nombre_titular,apellido_titular,número_cuenta,tipo_cuenta,saldo_actual,fecha_ultimo_movimiento,fecha_apertura,sucursal,ciudad_sucursal
1,Ulysses,Sawrey,123308825,ahorros,"$ 97,317.25",13/06/2025,16/10/2018,RICHMOND,Bauchi
2,Moise,Matus,053202130,ahorros,"$ 35,823.38",13/06/2020,29/04/2016,WALHALLA,Pasargunung
3,Nicol,Kerrane,101902298,ahorros,"$ 164,322.98",7/01/2020,22/04/2017,SIOUX FALLS,San Rafael Oriente
4,Barn,Sambell,083901744,ahorros,"$ 178,850.19",26/07/2022,6/09/2017,BIRMINGHAM,Victoria
5,Dianemarie,Deniseau,051409210,ahorros,"$ 109,913.38",24/09/2022,2/01/2016,ELIZABETH CITY,Qilin
6,Marcella,Everingham,091909217,ahorros,"$ 209,675.33",2/09/2020,11/06/2018,ROSEMOUNT,Viana
7,Kari,Jewess,042207308,ahorros,"$ 216,363.76",28/05/2022,9/04/2017,NEWARK,Caraballeda
8,Flin,Cocozza,061104877,ahorros,"$ 176,662.15",20/07/2024,16/08/2016,NORCROSS,Taimaman
9,Minnnie,Jeandon,084309125,corriente,"$ 12,575.97",1/06/2025,21/09/2016,PARIS,Sępopol
10,Reggie,Amyes,071909062,ahorros,"$ 115,394.38",9/02/2024,1/05/2017,ROSEMONT,Chernyanka
11,Leupold,Darragh,107005254,ahorros,"$ 129,166.04",8/06/2021,23/06/2016,LAKEWOOD,Xinhua
12,Dorine,Lambregts,122239322,corriente,"$ 84,049.53",3/05/2025,17/04/2016,CARLSBAD,Urasqui
13,Rita,Wraighte,075918295,ahorros,"$ 119,493.92",29/09/2020,26/01/2018,BOSOBEL,São José de Ribamar
14,Orren,Wilkie,107006431,corriente,"$ 110,643.28",13/02/2025,24/12/2016,LAKEWOOD,Bezhta
15,Emlyn,Gulliver,061309229,ahorros,"$ 212,455.81",7/09/2021,22/04/2016,NASHVILLE,Nangewer
16,Winifred,Collister,064201120,ahorros,"$ 90,310.91",9/12/2024,16/09/2018,ROSSVILLE,Khūgyāṉī
17,Erma,Leirmonth,065201064,ahorros,"$ 122,568.83",6/07/2023,10/10/2017,RICHMOND,Oklahoma City
18,Carolee,Heine,061103153,corriente,"$ 141,078.45",25/07/2021,21/02/2016,BUFORD,Varāmīn
19,Catina,Kirimaa,021213397,corriente,"$ 68,656.92",15/01/2021,13/07/2016,MONTEBELLO,Agrela
20,Berna,Gillman,053102117,ahorros,"$ 83,692.85",28/08/2023,12/12/2018,HERMITAGE,Otra Banda
21,Lida,Wivell,084303008,corriente,"$ 33,374.37",17/04/2023,1/10/2017,PARSONS,Calauan
22,Jacky,Kipping,031302803,corriente,"$ 208,272.21",21/04/2025,18/08/2016,ALBANY,Huangtan
23,Adi,Theakston,011001962,corriente,"$ 40,017.41",17/11/2021,30/07/2018,ROSEMEAD,Aksakovo
24,Hobard,Bosdet,111304064,corriente,"$ 50,735.41",23/02/2023,28/03/2018,KINGFISHER,Nantes
25,Netti,Chapleo,122187335,ahorros,"$ 55,998.74",15/05/2025,26/12/2018,RALEIGH,Tohautu
26,Mandie,Carlyon,122244731,corriente,"$ 159,988.47",2/02/2021,7/11/2016,MURRIETTA,Bojonggenteng
27,Jerald,Byer,074910854,corriente,"$ 71,557.08",17/07/2024,26/01/2017,LAGRANGE,Marićka
28,Anni,Bohman,064208194,corriente,"$ 192,323.85",22/06/2021,8/11/2017,RICHMOND,Parakanpanjang
29,Crosby,Gibard,091916048,ahorros,"$ 113,147.29",16/07/2024,26/10/2017,GLENCOE,Leceia
30,Charlena,Izakov,071920656,corriente,"$ 113,035.52",13/05/2022,20/08/2016,NAPERVILLE,Peukanbada
